end_of_period,loan_number,region,country_code,country,borrower,guarantor_country_code,guarantor,loan_type,loan_status,interest_rate,currency_of_commitment,project_id,project_name_,original_principal_amount,cancelled_amount,undisbursed_amount,disbursed_amount,repaid_to_ibrd,due_to_ibrd,exchange_adjustment,borrowers_obligation,sold_3rd_party,repaid_3rd_party,due_3rd_party,loans_held,first_repayment_date,last_repayment_date,agreement_signing_date,board_approval_date,effective_date_most_recent,closed_date_most_recent,last_disbursement_date
30-Apr-2024,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Mar-2024,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
29-Feb-2024,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jan-2024,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Dec-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Nov-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Oct-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Sep-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Aug-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-Jul-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Jun-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
31-May-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
30-Apr-2023,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.0,0.0,0,250000000.0,38000.0,0,0.0,0.0,249962000.0,249962000.0,0,0,01-Nov-1952,01-May-1977,09-May-1947,09-May-1947,09-Jun-1947,31-Dec-1947,
